collection_date,search_term,video_id,title,description,channel_title,published_at,view_count,like_count,comment_count,favorite_count,duration,definition,caption
2026-07-07 15:53:11,data analytics,dJA7k58zlA8,How I'd become a data analyst (if i had to start over) in 2026,Data Analyst Roadmap 2026. A data analyst career path can be broken down into 3 simple steps with timelines so that it's easy to ...,Agatha,2024-01-12 14:00:27+00:00,1182977,54449,1442,0,PT8M57S,hd,True
2026-07-07 15:53:11,data analytics,7boq1lWlTxE,Data Analyst Roadmap 2026 | DO NOT Learn Data Analytics Without Watching This!,"If you want to become a Data Analyst and build a rewarding data analytics career, this video is your complete step-by-step ...",Akber Shaikh,2025-10-10 12:30:13+00:00,401687,18391,542,0,PT9M38S,hd,False
2026-07-07 15:53:11,data analytics,YRJbhFLLPyE,The Complete Data Analyst Roadmap,Go from zero to a data analyst in 8-16 months. This step-by-step roadmap covers the essential skills you must learn to become a ...,Programming with Mosh,2024-08-06 13:00:37+00:00,760371,19359,371,0,PT4M8S,hd,False
2026-07-07 15:53:11,data analytics,SfE3aO3LWi0,I started my data analyst career taking these beginner courses,This video is specifically for anyone who is new to the data analysis field and looking to have an idea of what competences are ...,Wale Gbads,2021-05-11 19:28:57+00:00,597031,26849,1560,0,PT8M16S,hd,True
2026-07-07 15:53:11,data analytics,kghcAk7l6eA,Introduction to Data Analysis with Excel: 2-Hour Training Tutorial,Download the free course exercise files to follow along ...,Simon Sez IT,2023-03-07 16:00:09+00:00,839361,14098,328,0,PT1H53M40S,hd,False
2026-07-07 15:53:11,data analytics,4x4YI3chd6A,The FASTEST Data Analyst Roadmap for Career Changers in 2026 [FREE COURSE],"Work with me to launch your new data career: https://bit.ly/4gbSqhA I'm a self taught data scientist and founder of Data in Motion, ...",Kedeisha Bryan - Your Data Career Coach,2025-04-09 21:00:49+00:00,21926,1028,91,0,PT57M7S,hd,False
2026-07-07 15:53:11,data analytics,pCJ15nGFgVg,Excel for Data Analytics - Full Course for Beginners,"FREE Course Files & Projects https://lukeb.co/excel_files Supporter Access: Problems, Certificate, & More ...",Luke Barousse,2024-10-14 12:01:06+00:00,3121971,74348,4028,0,PT10H59M43S,hd,False
2026-07-07 15:53:11,data analytics,gcF31GuwSEs,What Is Data Analytics? | Data Analytics Explained | Data Analytics In 8 Minutes | Simplilearn,"""️  IBM - Data Analyst ...",Simplilearn,2024-12-17 14:30:18+00:00,23822,539,58,0,PT7M34S,hd,False
2026-07-07 15:53:11,data analytics,_g5roKHj95o,Master Data Analysis on Excel in Just 10 Minutes,AD: Sign up to enroll for a 7-day free trial with Coursera now!,Kenji Explains,2023-02-26 18:45:01+00:00,3258339,66267,779,0,PT11M32S,hd,True
2026-07-07 15:53:11,data analytics,rcL7C5YzHR8,Beginner to PRO Data Analysis with Excel - FREE Adv. Masterclass in TELUGU,"Want to learn how to perform data analysis in Excel from beginning to end? This is the video! In this video, you are going to learn: ...",Chandoo - Tech in Telugu,2024-03-28 07:00:30+00:00,613278,19116,505,0,PT36M4S,hd,False
2026-07-07 15:53:11,data analytics,dcXqhMqhZUo,Data Analytics vs Data Science,Explore analytics tools and solutions → https://ibm.biz/BdSPGc Are you interested in data science? And have you heard of data ...,IBM Technology,2023-11-08 12:00:38+00:00,760153,15077,244,0,PT6M30S,hd,True
2026-07-07 15:53:11,data analytics,Hk4rRvmZPQ8,Data Analyst Roadmap 2026 | The NEW Way To Become a Data Analyst,Free 3-Step Data Analytics Roadmap & SQL Course ⬇️ FREE 3-Step Data Analytics Roadmap ...,"Jess Ramos | Data, AI, & Tech ⚡️",2025-10-07 18:51:03+00:00,85919,3448,162,0,PT10M53S,hd,False
